event_id,location,date,elevation_m,avg_slope_deg,distance_to_stream_m,drainage_capacity_index,rainfall_1h_mm,rainfall_24h_mm,soil_moisture_pct,pore_water_pressure_kpa,vibration_index,incident_type,hazard_occurred
EV-SYN-NEG-004,Himalayan Catchment Node 5,2022-05-10,1599.2,19.9,288.4,0.68,12.8,4.8,37.7,4.7,0.097,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-005,Himalayan Catchment Node 6,2022-05-10,2410.5,28.1,332.1,0.52,11.4,42.8,39.1,7.1,0.09,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-006,Himalayan Catchment Node 7,2022-05-10,2544.2,21.2,124.2,0.64,15.1,40.5,29.1,3.6,0.08,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-007,Himalayan Catchment Node 8,2022-05-10,2132.2,22.4,337.9,0.73,1.7,28.1,33.1,5.2,0.025,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-008,Himalayan Catchment Node 9,2022-05-10,1676.8,34.9,352.0,0.53,0.4,28.9,39.3,6.1,0.031,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-009,Himalayan Catchment Node 10,2022-05-10,2292.9,25.6,258.1,0.85,2.5,31.3,31.2,4.5,0.075,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-010,Himalayan Catchment Node 11,2022-05-10,1482.5,33.7,396.9,0.54,13.0,26.0,26.0,2.8,0.018,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-011,Himalayan Catchment Node 12,2022-05-10,1911.4,39.1,117.2,0.58,6.4,3.1,35.8,3.8,0.082,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-012,Himalayan Catchment Node 1,2022-05-10,3136.2,21.3,239.0,0.73,9.6,14.6,28.3,4.7,0.099,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-013,Himalayan Catchment Node 2,2022-05-10,2807.4,32.9,245.2,0.66,1.1,25.3,53.3,6.3,0.072,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-014,Himalayan Catchment Node 3,2022-05-10,1412.7,20.4,237.5,0.66,13.6,15.6,41.6,7.5,0.093,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-015,Himalayan Catchment Node 4,2022-05-10,1535.3,21.3,189.8,0.85,16.7,24.3,48.7,7.4,0.066,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-016,Himalayan Catchment Node 5,2022-05-10,1481.0,17.4,314.3,0.79,14.1,31.9,16.4,2.1,0.034,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-017,Himalayan Catchment Node 6,2022-05-10,3261.3,24.7,80.7,0.69,5.5,17.9,32.9,5.3,0.056,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-018,Himalayan Catchment Node 7,2022-05-10,3382.7,39.8,223.9,0.8,3.8,41.9,19.7,3.6,0.044,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-019,Himalayan Catchment Node 8,2022-05-10,2973.0,38.7,353.8,0.78,5.5,3.6,31.1,3.7,0.073,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-020,Himalayan Catchment Node 9,2022-05-10,2610.1,24.3,391.5,0.79,2.4,38.8,51.9,7.7,0.065,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-021,Himalayan Catchment Node 10,2022-05-10,2305.6,35.6,111.2,0.64,2.6,16.5,17.7,1.8,0.022,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-022,Himalayan Catchment Node 11,2022-05-10,3324.8,41.0,242.3,0.65,5.6,22.8,32.6,3.6,0.068,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-023,Himalayan Catchment Node 12,2022-05-10,2630.4,20.8,266.9,0.55,1.1,35.1,33.4,3.5,0.1,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-024,Himalayan Catchment Node 1,2022-05-10,3364.1,16.6,293.3,0.58,2.6,5.5,27.1,3.0,0.072,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-025,Himalayan Catchment Node 2,2022-05-10,3392.7,16.7,228.3,0.78,11.1,13.8,40.0,6.1,0.048,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-026,Himalayan Catchment Node 3,2022-05-10,2189.5,18.5,360.3,0.57,6.6,18.6,48.1,8.3,0.079,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-027,Himalayan Catchment Node 4,2022-05-10,2259.0,15.3,195.7,0.51,4.7,34.2,20.5,3.1,0.029,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-028,Himalayan Catchment Node 5,2022-05-10,3346.9,15.3,134.4,0.78,17.3,22.0,19.4,3.0,0.051,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-029,Himalayan Catchment Node 6,2022-05-10,2274.1,37.8,84.3,0.55,5.8,33.2,34.0,4.7,0.046,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-030,Himalayan Catchment Node 7,2022-05-10,3162.6,27.4,324.8,0.83,14.2,14.2,42.5,6.1,0.033,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-031,Himalayan Catchment Node 8,2022-05-10,3183.9,37.7,63.4,0.66,11.5,29.7,50.8,8.3,0.065,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-032,Himalayan Catchment Node 9,2022-05-10,1530.4,16.8,231.4,0.76,9.2,30.6,16.7,1.8,0.074,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-033,Himalayan Catchment Node 10,2022-05-10,1226.6,16.9,74.9,0.83,13.3,15.9,26.9,3.6,0.08,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-034,Himalayan Catchment Node 11,2022-05-10,1583.0,32.9,114.8,0.53,11.9,34.4,25.6,2.6,0.017,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-035,Himalayan Catchment Node 12,2022-05-10,2892.3,41.1,153.4,0.72,6.9,9.3,19.9,3.2,0.08,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-036,Himalayan Catchment Node 1,2022-05-10,1292.3,32.4,235.6,0.84,14.4,13.2,54.2,8.7,0.062,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-037,Himalayan Catchment Node 2,2022-05-10,2644.3,35.2,334.1,0.54,6.1,41.8,24.0,3.3,0.049,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-038,Himalayan Catchment Node 3,2022-05-10,3274.8,26.9,264.5,0.58,2.2,8.9,50.5,8.3,0.036,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-039,Himalayan Catchment Node 4,2022-05-10,3062.3,37.0,351.5,0.82,4.5,34.0,33.4,6.2,0.076,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-040,Himalayan Catchment Node 5,2022-05-10,1590.3,36.0,279.7,0.69,17.7,42.2,16.7,1.9,0.022,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-041,Himalayan Catchment Node 6,2022-05-10,1669.7,34.6,336.2,0.68,15.1,33.0,36.7,5.8,0.056,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-042,Himalayan Catchment Node 7,2022-05-10,2715.5,23.0,247.8,0.81,11.5,34.3,21.4,3.1,0.011,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-043,Himalayan Catchment Node 8,2022-05-10,3382.0,21.7,304.3,0.53,7.2,36.0,23.2,3.6,0.076,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-044,Himalayan Catchment Node 9,2022-05-10,1981.8,31.6,115.8,0.77,10.0,0.2,45.4,4.7,0.077,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-045,Himalayan Catchment Node 10,2022-05-10,2009.5,20.5,385.3,0.61,2.7,13.8,50.1,10.0,0.043,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-046,Himalayan Catchment Node 11,2022-05-10,3149.6,27.1,302.7,0.71,7.0,18.6,42.8,4.3,0.066,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-047,Himalayan Catchment Node 12,2022-05-10,1404.6,24.6,328.0,0.71,8.7,28.9,17.6,2.8,0.061,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-048,Himalayan Catchment Node 1,2022-05-10,2688.2,30.1,261.2,0.78,4.9,37.1,34.9,3.8,0.015,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-049,Himalayan Catchment Node 2,2022-05-10,2756.9,24.0,324.7,0.78,9.3,19.8,20.9,2.8,0.049,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-050,Himalayan Catchment Node 3,2022-05-10,2516.1,17.4,127.2,0.76,18.0,42.0,40.7,5.8,0.067,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-051,Himalayan Catchment Node 4,2022-05-10,2101.8,36.2,91.4,0.79,6.9,25.7,38.5,4.6,0.043,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-052,Himalayan Catchment Node 5,2022-05-10,1253.2,24.0,59.2,0.79,4.9,23.3,26.9,5.2,0.033,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-053,Himalayan Catchment Node 6,2022-05-10,3052.3,26.6,355.5,0.57,14.4,20.6,34.3,3.9,0.017,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-054,Himalayan Catchment Node 7,2022-05-10,2161.1,34.7,223.8,0.76,13.8,7.2,39.4,4.5,0.078,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-055,Himalayan Catchment Node 8,2022-05-10,1351.7,32.7,384.8,0.52,5.1,11.8,24.9,4.7,0.032,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-056,Himalayan Catchment Node 9,2022-05-10,2189.4,22.3,315.8,0.77,1.2,21.9,16.3,1.7,0.092,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-057,Himalayan Catchment Node 10,2022-05-10,2104.4,18.8,236.3,0.62,16.2,1.0,41.6,8.2,0.06,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-058,Himalayan Catchment Node 11,2022-05-10,2121.3,40.3,68.3,0.59,13.2,44.2,25.3,4.2,0.028,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-059,Himalayan Catchment Node 12,2022-05-10,3338.4,30.3,212.4,0.71,6.3,5.1,21.0,2.6,0.033,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-060,Himalayan Catchment Node 1,2022-05-10,2351.5,38.0,246.4,0.54,15.5,32.5,17.7,3.0,0.059,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-061,Himalayan Catchment Node 2,2022-05-10,2266.3,17.2,210.4,0.56,17.0,38.2,41.8,6.1,0.047,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-062,Himalayan Catchment Node 3,2022-05-10,1337.0,32.6,240.9,0.68,14.5,20.7,17.1,3.1,0.028,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-063,Himalayan Catchment Node 4,2022-05-10,1926.5,22.0,107.6,0.76,9.3,9.2,50.1,9.4,0.088,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-064,Himalayan Catchment Node 5,2022-05-10,3367.0,21.4,207.9,0.77,0.5,2.9,33.6,6.4,0.058,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-065,Himalayan Catchment Node 6,2022-05-10,2644.9,28.4,86.9,0.79,6.8,34.9,53.6,6.4,0.057,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-066,Himalayan Catchment Node 7,2022-05-10,2470.7,22.8,327.5,0.72,14.4,17.8,51.6,7.9,0.024,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-067,Himalayan Catchment Node 8,2022-05-10,1896.9,33.8,327.6,0.8,16.3,12.5,54.3,6.2,0.028,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-068,Himalayan Catchment Node 9,2022-05-10,2639.4,20.0,362.9,0.55,7.9,27.7,18.3,3.5,0.082,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-069,Himalayan Catchment Node 10,2022-05-10,2119.1,28.6,388.5,0.84,12.0,28.6,21.6,4.1,0.048,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-070,Himalayan Catchment Node 11,2022-05-10,2431.5,19.4,54.4,0.68,12.9,40.1,18.2,3.1,0.027,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-071,Himalayan Catchment Node 12,2022-05-10,2389.7,38.2,336.7,0.75,5.7,21.2,47.9,7.0,0.042,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-072,Himalayan Catchment Node 1,2022-05-10,1937.5,28.3,339.9,0.56,12.8,37.2,19.0,2.4,0.023,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-073,Himalayan Catchment Node 2,2022-05-10,2847.4,24.4,207.6,0.73,11.2,15.9,48.7,7.2,0.098,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-074,Himalayan Catchment Node 3,2022-05-10,2687.6,32.1,94.2,0.61,12.4,3.1,22.0,4.1,0.03,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-075,Himalayan Catchment Node 4,2022-05-10,2614.3,37.6,147.7,0.74,9.2,13.7,23.5,2.4,0.037,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-076,Himalayan Catchment Node 5,2022-05-10,3116.6,32.6,378.4,0.77,14.2,29.9,25.4,4.8,0.07,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-077,Himalayan Catchment Node 6,2022-05-10,2183.5,30.1,88.8,0.66,15.6,24.6,30.2,6.0,0.02,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-078,Himalayan Catchment Node 7,2022-05-10,2827.8,26.4,64.7,0.82,5.0,38.6,26.7,5.1,0.078,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-079,Himalayan Catchment Node 8,2022-05-10,3318.2,36.7,56.3,0.75,5.5,37.3,26.3,4.9,0.02,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-080,Himalayan Catchment Node 9,2022-05-10,1412.4,34.0,239.2,0.58,0.2,21.1,27.1,4.3,0.037,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-081,Himalayan Catchment Node 10,2022-05-10,1305.9,23.1,310.1,0.82,15.3,30.1,38.7,7.3,0.027,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-082,Himalayan Catchment Node 11,2022-05-10,2948.1,17.1,133.8,0.51,10.5,44.8,49.2,7.5,0.016,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-083,Himalayan Catchment Node 12,2022-05-10,1452.9,37.4,259.6,0.53,16.4,30.1,48.2,9.1,0.061,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-084,Himalayan Catchment Node 1,2022-05-10,1897.3,29.0,200.6,0.65,13.9,27.1,50.7,7.3,0.065,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-085,Himalayan Catchment Node 2,2022-05-10,2745.8,32.0,257.1,0.58,9.2,4.7,30.4,4.5,0.069,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-086,Himalayan Catchment Node 3,2022-05-10,2835.9,40.7,260.2,0.68,11.4,3.2,25.2,3.4,0.053,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-087,Himalayan Catchment Node 4,2022-05-10,1809.0,16.2,99.0,0.84,6.0,21.7,22.8,3.7,0.035,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-088,Himalayan Catchment Node 5,2022-05-10,1212.1,20.6,230.8,0.5,3.9,1.7,19.3,2.6,0.082,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-089,Himalayan Catchment Node 6,2022-05-10,1845.7,30.4,229.4,0.83,7.1,3.9,39.7,4.4,0.041,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-090,Himalayan Catchment Node 7,2022-05-10,2285.8,28.7,356.0,0.75,17.9,5.9,26.0,3.6,0.048,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-091,Himalayan Catchment Node 8,2022-05-10,2770.9,26.1,367.7,0.71,5.6,37.1,53.2,9.7,0.01,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-092,Himalayan Catchment Node 9,2022-05-10,1766.7,32.2,67.9,0.52,10.9,30.9,19.6,2.7,0.051,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-093,Himalayan Catchment Node 10,2022-05-10,2121.7,25.0,92.4,0.76,1.3,3.6,29.2,5.7,0.07,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-094,Himalayan Catchment Node 11,2022-05-10,2506.1,33.3,176.7,0.5,11.4,41.1,39.5,7.4,0.075,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-095,Himalayan Catchment Node 12,2022-05-10,1346.2,18.3,365.9,0.69,2.6,0.5,31.9,4.1,0.054,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-096,Himalayan Catchment Node 1,2022-05-10,1470.6,30.6,65.3,0.7,6.2,32.8,41.1,7.6,0.072,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-097,Himalayan Catchment Node 2,2022-05-10,1805.8,26.6,285.5,0.61,14.2,20.1,46.9,8.6,0.087,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-098,Himalayan Catchment Node 3,2022-05-10,1901.5,39.7,200.8,0.7,6.7,27.0,43.2,7.3,0.044,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-099,Himalayan Catchment Node 4,2022-05-10,1513.7,19.5,200.7,0.81,6.2,7.0,16.0,2.6,0.067,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-100,Himalayan Catchment Node 5,2022-05-10,2101.2,24.2,75.1,0.61,12.2,27.3,29.6,3.6,0.099,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-101,Himalayan Catchment Node 6,2022-05-10,1509.2,27.3,290.9,0.67,0.5,22.7,53.6,7.4,0.014,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-102,Himalayan Catchment Node 7,2022-05-10,1552.1,15.8,185.8,0.51,13.6,20.6,26.6,5.0,0.02,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-103,Himalayan Catchment Node 8,2022-05-10,3154.5,40.8,159.9,0.71,14.9,44.3,26.5,5.2,0.045,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-104,Himalayan Catchment Node 9,2022-05-10,2391.1,25.4,169.1,0.55,10.0,24.4,45.5,8.3,0.05,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-105,Himalayan Catchment Node 10,2022-05-10,1628.2,23.2,140.8,0.52,6.2,12.2,53.7,8.4,0.041,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-106,Himalayan Catchment Node 11,2022-05-10,2176.9,30.7,98.7,0.72,8.8,18.1,54.8,10.3,0.066,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-107,Himalayan Catchment Node 12,2022-05-10,1642.9,30.4,267.2,0.64,0.7,21.4,36.7,4.5,0.097,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-108,Himalayan Catchment Node 1,2022-05-10,2373.5,39.6,302.8,0.8,2.4,35.6,20.0,3.6,0.035,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-109,Himalayan Catchment Node 2,2022-05-10,1527.4,38.7,380.4,0.66,17.7,21.8,49.5,7.9,0.044,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-110,Himalayan Catchment Node 3,2022-05-10,2876.0,22.7,121.1,0.64,9.2,22.2,38.1,7.1,0.098,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-111,Himalayan Catchment Node 4,2022-05-10,2882.0,26.0,339.6,0.7,17.2,9.0,19.4,3.6,0.05,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-112,Himalayan Catchment Node 5,2022-05-10,1337.4,37.9,362.6,0.81,8.1,23.0,40.1,7.7,0.012,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-113,Himalayan Catchment Node 6,2022-05-10,2790.0,27.9,290.7,0.74,2.4,13.5,29.3,5.3,0.035,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-114,Himalayan Catchment Node 7,2022-05-10,1219.5,20.7,385.1,0.85,12.2,37.3,26.8,2.7,0.076,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-115,Himalayan Catchment Node 8,2022-05-10,1514.3,37.5,309.2,0.76,13.8,29.6,45.6,8.4,0.065,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-116,Himalayan Catchment Node 9,2022-05-10,1370.8,17.4,220.7,0.64,7.3,3.0,29.0,3.2,0.083,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-117,Himalayan Catchment Node 10,2022-05-10,3301.3,40.6,75.3,0.68,5.4,3.5,35.0,6.3,0.074,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-118,Himalayan Catchment Node 11,2022-05-10,2086.3,16.4,75.5,0.6,4.2,12.6,47.1,9.1,0.046,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-119,Himalayan Catchment Node 12,2022-05-10,2248.2,39.5,162.5,0.58,11.5,44.1,39.1,5.3,0.068,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-120,Himalayan Catchment Node 1,2022-05-10,2306.8,18.3,361.0,0.66,10.5,28.1,17.9,3.0,0.032,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-121,Himalayan Catchment Node 2,2022-05-10,2968.7,34.3,337.9,0.69,9.4,6.4,46.0,5.9,0.055,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-122,Himalayan Catchment Node 3,2022-05-10,2585.0,22.7,96.8,0.52,13.5,14.3,15.0,2.3,0.014,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-123,Himalayan Catchment Node 4,2022-05-10,1337.9,22.5,297.4,0.79,0.1,11.1,44.6,5.9,0.019,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-124,Himalayan Catchment Node 5,2022-05-10,3054.0,24.7,144.6,0.61,14.2,40.1,32.4,6.2,0.044,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-125,Himalayan Catchment Node 6,2022-05-10,2711.4,41.0,81.3,0.67,7.0,28.5,43.2,4.3,0.025,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-126,Himalayan Catchment Node 7,2022-05-10,3325.3,34.3,283.2,0.77,17.1,31.6,26.9,3.0,0.08,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-127,Himalayan Catchment Node 8,2022-05-10,1992.1,32.4,66.9,0.83,9.0,19.5,33.3,4.0,0.043,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-128,Himalayan Catchment Node 9,2022-05-10,2888.6,25.0,68.3,0.65,14.8,38.3,23.5,3.9,0.053,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-129,Himalayan Catchment Node 10,2022-05-10,2691.2,38.8,125.5,0.71,5.3,6.1,41.1,7.1,0.038,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-130,Himalayan Catchment Node 11,2022-05-10,2769.1,32.4,188.3,0.57,16.0,12.9,29.7,3.1,0.02,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-131,Himalayan Catchment Node 12,2022-05-10,3038.1,28.9,143.7,0.51,6.8,15.2,15.8,1.8,0.047,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-132,Himalayan Catchment Node 1,2022-05-10,2368.1,28.3,191.5,0.71,0.2,20.9,53.5,8.1,0.071,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-133,Himalayan Catchment Node 2,2022-05-10,2900.4,23.4,320.9,0.68,17.6,5.6,15.7,2.8,0.083,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-134,Himalayan Catchment Node 3,2022-05-10,1238.6,18.2,143.0,0.6,13.9,23.3,28.9,4.0,0.01,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-135,Himalayan Catchment Node 4,2022-05-10,3343.2,23.1,276.3,0.8,0.4,40.4,46.3,8.2,0.051,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-136,Himalayan Catchment Node 5,2022-05-10,1344.5,25.7,156.0,0.58,4.4,21.8,44.9,6.6,0.015,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-137,Himalayan Catchment Node 6,2022-05-10,2927.4,40.9,380.0,0.85,9.8,43.3,18.0,2.5,0.03,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-138,Himalayan Catchment Node 7,2022-05-10,2569.3,20.3,99.3,0.77,10.4,6.6,47.4,7.8,0.045,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-139,Himalayan Catchment Node 8,2022-05-10,1959.4,33.2,141.0,0.82,5.2,21.1,50.6,8.6,0.016,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-140,Himalayan Catchment Node 9,2022-05-10,2588.0,19.0,52.7,0.66,2.4,43.1,36.2,4.5,0.055,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-141,Himalayan Catchment Node 10,2022-05-10,1804.3,33.3,76.7,0.78,8.3,24.6,32.3,3.4,0.025,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-142,Himalayan Catchment Node 11,2022-05-10,1310.0,27.0,123.2,0.8,17.7,35.7,49.2,6.1,0.096,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-143,Himalayan Catchment Node 12,2022-05-10,3388.6,20.3,383.0,0.75,17.7,25.6,25.4,3.6,0.063,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-144,Himalayan Catchment Node 1,2022-05-10,3358.6,17.0,267.8,0.57,14.3,40.9,52.7,10.3,0.057,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-145,Himalayan Catchment Node 2,2022-05-10,1555.7,41.4,315.1,0.67,12.9,11.1,40.6,6.8,0.025,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-146,Himalayan Catchment Node 3,2022-05-10,2297.6,30.3,320.1,0.5,0.2,16.1,52.0,6.4,0.067,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-147,Himalayan Catchment Node 4,2022-05-10,3065.7,21.0,162.6,0.76,1.7,19.3,16.2,2.4,0.07,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-148,Himalayan Catchment Node 5,2022-05-10,2075.2,18.2,151.1,0.82,17.9,2.0,45.4,6.2,0.045,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-149,Himalayan Catchment Node 6,2022-05-10,3292.0,35.4,371.4,0.7,6.4,35.4,25.0,3.9,0.042,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-150,Himalayan Catchment Node 7,2022-05-10,1621.5,32.7,134.1,0.82,1.8,22.8,23.8,2.5,0.013,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-151,Himalayan Catchment Node 8,2022-05-10,1821.5,19.7,353.4,0.83,10.5,19.6,38.2,5.8,0.078,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-152,Himalayan Catchment Node 9,2022-05-10,3167.0,22.6,173.6,0.83,16.1,18.9,46.2,6.8,0.055,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-153,Himalayan Catchment Node 10,2022-05-10,1609.5,20.5,256.9,0.62,15.4,9.3,17.8,1.9,0.095,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-154,Himalayan Catchment Node 11,2022-05-10,2983.9,28.7,193.3,0.79,6.0,31.2,45.8,7.6,0.024,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-155,Himalayan Catchment Node 12,2022-05-10,1821.4,38.6,238.7,0.65,0.7,5.8,45.6,4.6,0.047,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-156,Himalayan Catchment Node 1,2022-05-10,3340.8,29.1,69.1,0.58,5.5,13.7,24.2,2.4,0.076,Normal / Non-Hazardous Baseline,0
EV-SYN-NEG-157,Himalayan Catchment Node 2,2022-05-10,2658.7,41.1,128.5,0.76,15.3,19.0,27.1,3.6,0.074,Normal / Non-Hazardous Baseline,0
